,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2D5119499/2013-toyota-4runner/,JTEBU5JR2D5119499,Excellent Price,19809,2013 Toyota 4Runner,SR5 V6 4WD,"Beaumont, TX",81716,Black,Unknown,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-04-19 09:56:01.391770
1,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JRXD5125504/2013-toyota-4runner/,JTEBU5JRXD5125504,Excellent Price,18500,2013 Toyota 4Runner,Limited V6 4WD,"Richland, WA",88690,White,Tan,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,1,2020-04-19 09:56:01.391770
2,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR5B5034380/2011-toyota-4runner/,JTEBU5JR5B5034380,Excellent Price,19200,2011 Toyota 4Runner,SR5 V6 4WD,"Leonardtown, MD",83012,Black,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-04-19 09:56:01.391770
3,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR9D5149017/2013-toyota-4runner/,JTEBU5JR9D5149017,Excellent Price,17576,2013 Toyota 4Runner,Limited V6 4WD,"St Charles, IL",93902,Magnetic Gray Metallic,Solid Black,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-04-19 09:56:01.391770
4,2012 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7C5077359/2012-toyota-4runner/,JTEBU5JR7C5077359,Excellent Price,16991,2012 Toyota 4Runner,SR5 V6 4WD,"Mays Landing, NJ",97135,Blizzard Pearl,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,2,Personal or Rental Use,Clean,1,2020-04-19 09:56:01.391770
5,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR4B5071033/2011-toyota-4runner/,JTEBU5JR4B5071033,Excellent Price,17500,2011 Toyota 4Runner,SR5 V6 4WD,"Vienna, VA",94358,Magnetic Gray Metallic,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-04-19 09:56:01.391770
6,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR1A5032219/2010-toyota-4runner/,JTEBU5JR1A5032219,Excellent Price,18674,2010 Toyota 4Runner,SR5 V6 4WD,"Lakewood, CO",92860,White,Sand Beige,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,2,2020-04-19 09:56:01.391770
7,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7A5010385/2010-toyota-4runner/,JTEBU5JR7A5010385,Excellent Price,17443,2010 Toyota 4Runner,Limited V6 4WD,"Palatine, IL",74482,Classic Silver Metallic,Unknown,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-04-19 09:56:01.391770
8,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR9D5116096/2013-toyota-4runner/,JTEBU5JR9D5116096,Great Price,19689,2013 Toyota 4Runner,SR5 V6 4WD,"Jackson, MS",97999,Black,Sand Beige,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-04-19 09:56:01.391770
9,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2B5039309/2011-toyota-4runner/,JTEBU5JR2B5039309,Excellent Price,17990,2011 Toyota 4Runner,SR5 V6 4WD,"Northridge, CA",95718,Magnetic Gray Metallic,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-04-19 09:56:01.391770
