,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXBM360731/2011-nissan-370z/,JN1AZ4FHXBM360731,Excellent Price,10495,2011 Nissan 370Z,Touring Roadster Auto,"Laurel, MD",45866,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Salvaged,3,2020-03-13 08:24:54.831539
1,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4CM371015/2012-nissan-370z/,JN1AZ4FH4CM371015,Excellent Price,18457,2012 Nissan 370Z,Touring Roadster Auto,"Midlothian, VA",23635,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-13 08:24:54.831539
2,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH1CM371067/2012-nissan-370z/,JN1AZ4FH1CM371067,Excellent Price,15941,2012 Nissan 370Z,Touring Roadster Auto,"Fort Worth, TX",79158,Black Cherry Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-13 08:24:54.831539
3,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4AM301379/2010-nissan-370z/,JN1AZ4FH4AM301379,Excellent Price,14081,2010 Nissan 370Z,Touring Roadster Auto,"Oklahoma City, OK",45581,Solid Red,Persimmon,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-13 08:24:54.831539
4,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5EM621073/2014-nissan-370z/,JN1AZ4FH5EM621073,Excellent Price,18499,2014 Nissan 370Z,Touring Roadster Auto,"Honolulu, HI",47450,Pearl White,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-13 08:24:54.831539
5,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH8EM620533/2014-nissan-370z/,JN1AZ4FH8EM620533,Excellent Price,18200,2014 Nissan 370Z,Touring Roadster Auto,"Phoenix, AZ",24751,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-13 08:24:54.831539
6,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5EM621137/2014-nissan-370z/,JN1AZ4FH5EM621137,Great Price,19541,2014 Nissan 370Z,Touring Roadster Auto,"Olive Branch, MS",48854,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-13 08:24:54.831539
7,2015 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4FM430553/2015-nissan-370z/,JN1AZ4FH4FM430553,Excellent Price,19000,2015 Nissan 370Z,Touring Sport Roadster Auto,"Macon, GA",57828,Solid Red,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-03-13 08:24:54.831539
8,2015 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5FM430187/2015-nissan-370z/,JN1AZ4FH5FM430187,Excellent Price,19499,2015 Nissan 370Z,Touring Roadster Auto,"Atlanta, GA",61393,Brilliant Silver Metallic,Gray,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,1,2020-03-13 08:24:54.831539
9,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH3CM370146/2012-nissan-370z/,JN1AZ4FH3CM370146,Great Price,16750,2012 Nissan 370Z,Touring Roadster Auto,"Houston, TX",54590,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-13 08:24:54.831539
