,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF8C0221935/2012-mazda-mx-5-miata/,JM1NC2PF8C0221935,Great Price,12598,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Austin, TX",67030,Red,Unknown,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-05 10:00:17.292421
1,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF9D0228415/2013-mazda-mx-5-miata/,JM1NC2MF9D0228415,Excellent Price,11500,2013 Mazda MX-5 Miata,Club Hard Top Automatic,"Houston, TX",78616,Crystal White Pearl Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-05 10:00:17.292421
2,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0C0222190/2012-mazda-mx-5-miata/,JM1NC2PF0C0222190,Great Price,14491,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",31029,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-05 10:00:17.292421
3,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF5A0209238/2010-mazda-mx-5-miata/,JM1NC2FF5A0209238,Excellent Price,9990,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Little Rock, AR",64618,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-05 10:00:17.292421
4,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF8D0227000/2013-mazda-mx-5-miata/,JM1NC2MF8D0227000,Excellent Price,12980,2013 Mazda MX-5 Miata,Club Hard Top Automatic,"Daphne, AL",47259,Crystal White Pearl Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,4,2020-03-05 10:00:17.292421
5,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF9A0205354/2010-mazda-mx-5-miata/,JM1NC2FF9A0205354,Excellent Price,7391,2010 Mazda MX-5 Miata,Touring PRHT Automatic,"Houston, TX",80451,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-05 10:00:17.292421
6,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2D0227957/2013-mazda-mx-5-miata/,JM1NC2PF2D0227957,Excellent Price,12499,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Centennial, CO",58306,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-05 10:00:17.292421
7,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF2F0238254/2015-mazda-mx-5-miata/,JM1NC2MF2F0238254,Great Price,14290,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Denton, TX",70027,Crystal White Pearl,Black W/Red Stitch,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-05 10:00:17.292421
8,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF5A0207618/2010-mazda-mx-5-miata/,JM1NC2FF5A0207618,Excellent Price,7500,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Auburn, CA",48846,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Salvaged,1,2020-03-05 10:00:17.292421
9,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF9C0223872/2012-mazda-mx-5-miata/,JM1NC2PF9C0223872,Great Price,10995,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Austin, TX",92714,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-05 10:00:17.292421
