,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2D5119499/2013-toyota-4runner/,JTEBU5JR2D5119499,Excellent Price,19884,2013 Toyota 4Runner,SR5 V6 4WD,"Beaumont, TX",81716,Black,Unknown,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-29 20:03:24.703305
1,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JRXD5125504/2013-toyota-4runner/,JTEBU5JRXD5125504,Excellent Price,18500,2013 Toyota 4Runner,Limited V6 4WD,"Richland, WA",88690,White,Tan,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,1,2020-03-29 20:03:24.703305
2,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR9D5149017/2013-toyota-4runner/,JTEBU5JR9D5149017,Excellent Price,17684,2013 Toyota 4Runner,Limited V6 4WD,"St Charles, IL",93902,Magnetic Gray Metallic,Solid Black,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-29 20:03:24.703305
3,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR6B5076945/2011-toyota-4runner/,JTEBU5JR6B5076945,Excellent Price,15750,2011 Toyota 4Runner,SR5 V6 4WD,"Skokie, IL",96598,Magnetic Gray Metallic,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-29 20:03:24.703305
4,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR5B5034380/2011-toyota-4runner/,JTEBU5JR5B5034380,Excellent Price,19900,2011 Toyota 4Runner,SR5 V6 4WD,"Leonardtown, MD",83012,Black,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-29 20:03:24.703305
5,2012 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7C5077359/2012-toyota-4runner/,JTEBU5JR7C5077359,Excellent Price,16991,2012 Toyota 4Runner,SR5 V6 4WD,"Mays Landing, NJ",97135,Blizzard Pearl,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,2,Personal or Rental Use,Clean,1,2020-03-29 20:03:24.703305
6,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR9D5116096/2013-toyota-4runner/,JTEBU5JR9D5116096,Excellent Price,19989,2013 Toyota 4Runner,SR5 V6 4WD,"Jackson, MS",97999,Black,Sand Beige,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-29 20:03:24.703305
7,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR1D5118747/2013-toyota-4runner/,JTEBU5JR1D5118747,Excellent Price,18998,2013 Toyota 4Runner,SR5 V6 4WD,"Wadsworth, OH",99820,Classic Silver Metallic,Black,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:03:24.703305
8,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7A5010385/2010-toyota-4runner/,JTEBU5JR7A5010385,Excellent Price,17443,2010 Toyota 4Runner,Limited V6 4WD,"Palatine, IL",74482,Classic Silver Metallic,Unknown,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:03:24.703305
9,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR3B5034328/2011-toyota-4runner/,JTEBU5JR3B5034328,Excellent Price,18450,2011 Toyota 4Runner,SR5 V6 4WD,"Savannah, GA",87682,Black,Other,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-29 20:03:24.703305
10,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR4B5071033/2011-toyota-4runner/,JTEBU5JR4B5071033,Excellent Price,18000,2011 Toyota 4Runner,SR5 V6 4WD,"Vienna, VA",94358,Magnetic Gray Metallic,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:03:24.703305
11,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2B5060788/2011-toyota-4runner/,JTEBU5JR2B5060788,Excellent Price,19644,2011 Toyota 4Runner,Limited V6 4WD,"Bentonville, AR",91868,Classic Silver Metallic,Solid Black,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:03:24.703305
12,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR6A5015965/2010-toyota-4runner/,JTEBU5JR6A5015965,Excellent Price,18549,2010 Toyota 4Runner,Trail V6 4WD,"Charleston, SC",90492,Salsa Red Pearl,Black/Graphite,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-29 20:03:24.703305
