,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JRXD5125504/2013-toyota-4runner/,JTEBU5JRXD5125504,Excellent Price,18750,2013 Toyota 4Runner,Limited V6 4WD,"Richland, WA",88690,White,Tan,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,1,2020-03-08 22:15:17.989566
1,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2D5119499/2013-toyota-4runner/,JTEBU5JR2D5119499,Excellent Price,19987,2013 Toyota 4Runner,SR5 V6 4WD,"Beaumont, TX",81716,Black,Unknown,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-08 22:15:17.989566
2,2015 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR4F5263283/2015-toyota-4runner/,JTEBU5JR4F5263283,Excellent Price,19900,2015 Toyota 4Runner,SR5 V6 4WD,"Phoenix, AZ",45477,Silver,Black,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Salvaged,2,2020-03-08 22:15:17.989566
3,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR3A5004972/2010-toyota-4runner/,JTEBU5JR3A5004972,Excellent Price,19990,2010 Toyota 4Runner,Limited V6 4WD,"North Little Rock, AR",92155,Black,Sand Beige,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-08 22:15:17.989566
4,2010 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7A5010385/2010-toyota-4runner/,JTEBU5JR7A5010385,Excellent Price,17443,2010 Toyota 4Runner,Limited V6 4WD,"Palatine, IL",74482,Classic Silver Metallic,Unknown,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-08 22:15:17.989566
5,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR7B5041458/2011-toyota-4runner/,JTEBU5JR7B5041458,Great Price,19999,2011 Toyota 4Runner,Limited V6 4WD,"Snellville, GA",86206,Off White,Black,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,2,2020-03-08 22:15:17.989566
6,2012 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR0C5079776/2012-toyota-4runner/,JTEBU5JR0C5079776,Great Price,19195,2012 Toyota 4Runner,SR5 V6 4WD,"Winchester, VA",90373,Classic Silver Metallic,Unknown,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-08 22:15:17.989566
7,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR3D5142130/2013-toyota-4runner/,JTEBU5JR3D5142130,Great Price,19000,2013 Toyota 4Runner,SR5 V6 4WD,"Burlington, NJ",90235,Black,Black/Graphite,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-08 22:15:17.989566
8,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR4B5039084/2011-toyota-4runner/,JTEBU5JR4B5039084,Great Price,19495,2011 Toyota 4Runner,SR5 V6 4WD,"Chambersburg, PA",85732,Blizzard Pearl,Sand Beige,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,1,Personal or Rental Use,Clean,2,2020-03-08 22:15:17.989566
9,2013 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR0D5130341/2013-toyota-4runner/,JTEBU5JR0D5130341,Great Price,18995,2013 Toyota 4Runner,SR5 V6 4WD,"Auburn, NY",94759,Blizzard Pearl Metallic,Unknown,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,3,2020-03-08 22:15:17.989566
10,2011 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR2B5050035/2011-toyota-4runner/,JTEBU5JR2B5050035,Great Price,19849,2011 Toyota 4Runner,Limited V6 4WD,"Akron, OH",84796,Black,Sand Beige,MPG17 cty / 22 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,2,2020-03-08 22:15:17.989566
11,2014 Toyota 4Runner,https://penfed.truecar.com/used-cars-for-sale/listing/JTEBU5JR1E5186516/2014-toyota-4runner/,JTEBU5JR1E5186516,Great Price,19377,2014 Toyota 4Runner,SR5 V6 4WD,"Lodi, NJ",94196,Barcelona Red Metallic,Unknown,MPG17 cty / 21 hwy,4.0L V-6 Gas,Automatic,4WD,Gas,0,Personal or Rental Use,Clean,1,2020-03-08 22:15:17.989566
