,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2016 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54G5A20645/2016-bmw-z4/,WBALL5C54G5A20645,Excellent Price,19995,2016 BMW Z4,sDrive28i,"Van Nuys, CA",65532,Jet Black,Black/Orange,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-04 16:37:51.699367
1,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C58BE383433/2011-bmw-z4/,WBALM7C58BE383433,Excellent Price,17747,2011 BMW Z4,Roadster sDrive35i,"Arlington, TX",63514,Melbourne Red Metallic,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-04 16:37:51.699367
2,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54DJ103704/2013-bmw-z4/,WBALL5C54DJ103704,Excellent Price,11987,2013 BMW Z4,Roadster sDrive28i,"West Palm Beach, FL",99150,Deep Sea Blue Metallic,Walnut,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,3,2020-03-04 16:37:51.699367
3,2015 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C58FP556983/2015-bmw-z4/,WBALL5C58FP556983,Excellent Price,17995,2015 BMW Z4,sDrive28i,"Stafford, VA",65379,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-03-04 16:37:51.699367
4,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C5XBE379551/2011-bmw-z4/,WBALM5C5XBE379551,Great Price,14999,2011 BMW Z4,Roadster sDrive30i,"El Paso, TX",78671,Jet Black,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-03-04 16:37:51.699367
5,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,18990,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-03-04 16:37:51.699367
6,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C59BE378147/2011-bmw-z4/,WBALM5C59BE378147,Great Price,16142,2011 BMW Z4,Roadster sDrive30i,"Hemet, CA",58293,Deep Sea Blue Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,5,2020-03-04 16:37:51.699367
7,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C53BE378967/2011-bmw-z4/,WBALM5C53BE378967,Great Price,13884,2011 BMW Z4,Roadster sDrive30i,"Las Vegas, NV",84101,Gray,Unknown,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-04 16:37:51.699367
8,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C53BE383050/2011-bmw-z4/,WBALM7C53BE383050,Great Price,17990,2011 BMW Z4,Roadster sDrive35i,"Wichita, KS",48921,Jet Black,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-04 16:37:51.699367
9,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C59CE716585/2012-bmw-z4/,WBALL5C59CE716585,Great Price,16999,2012 BMW Z4,Roadster sDrive28i,"Lakewood, WA",37321,Gold,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-04 16:37:51.699367
10,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C55BE378615/2011-bmw-z4/,WBALM5C55BE378615,Great Price,14000,2011 BMW Z4,Roadster sDrive30i,"San Francisco, CA",67555,Atacama Yellow,Unknown,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-03-04 16:37:51.699367
