,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2NF1D0226835/2013-mazda-mx-5-miata/,JM1NC2NF1D0226835,Great Price,12670,2013 Mazda MX-5 Miata,Grand Touring Automatic,"San Antonio, TX",72336,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
1,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF3C0226520/2012-mazda-mx-5-miata/,JM1NC2JF3C0226520,Excellent Price,7500,2012 Mazda MX-5 Miata,Sport Automatic,"Houston, TX",95056,True Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-23 18:43:57.662618
2,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF9A0205354/2010-mazda-mx-5-miata/,JM1NC2FF9A0205354,Excellent Price,7291,2010 Mazda MX-5 Miata,Touring PRHT Automatic,"Houston, TX",80451,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-23 18:43:57.662618
3,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Excellent Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-03-23 18:43:57.662618
4,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF5A0207618/2010-mazda-mx-5-miata/,JM1NC2FF5A0207618,Excellent Price,7500,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Auburn, CA",48846,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Salvaged,1,2020-03-23 18:43:57.662618
5,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2D0227957/2013-mazda-mx-5-miata/,JM1NC2PF2D0227957,Excellent Price,12400,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Centennial, CO",58306,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
6,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0C0222190/2012-mazda-mx-5-miata/,JM1NC2PF0C0222190,Great Price,14244,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",31029,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-23 18:43:57.662618
7,2014 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF6E0233634/2014-mazda-mx-5-miata/,JM1NC2PF6E0233634,Excellent Price,12989,2014 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Foley, AL",81285,Jet Black,Unknown,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,4,2020-03-23 18:43:57.662618
8,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9C0224335/2012-mazda-mx-5-miata/,JM1NC2JF9C0224335,Excellent Price,8498,2012 Mazda MX-5 Miata,Sport Automatic,"Marietta, GA",63241,Silver,Other,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-23 18:43:57.662618
9,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9B0219389/2011-mazda-mx-5-miata/,JM1NC2JF9B0219389,Excellent Price,9945,2011 Mazda MX-5 Miata,Sport Automatic,"Sacramento, CA",75293,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
10,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF8D0227848/2013-mazda-mx-5-miata/,JM1NC2PF8D0227848,Great Price,14989,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Columbus, OH",51533,Copper Red Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
11,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2C0222823/2012-mazda-mx-5-miata/,JM1NC2PF2C0222823,Great Price,13971,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Noblesville, IN",44823,Stormy Blue Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
12,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF8D0228711/2013-mazda-mx-5-miata/,JM1NC2PF8D0228711,Excellent Price,11995,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Hasbrouck Heights, NJ",51323,Dolphin Gray Metallic,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Theft Recovered,3,2020-03-23 18:43:57.662618
13,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF7F0240254/2015-mazda-mx-5-miata/,JM1NC2PF7F0240254,Great Price,14900,2015 Mazda MX-5 Miata,Grand Touring Hard Top Auto,"Louisville, KY",74200,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
14,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF9C0223872/2012-mazda-mx-5-miata/,JM1NC2PF9C0223872,Great Price,10888,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Austin, TX",92714,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-23 18:43:57.662618
15,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF2F0241624/2015-mazda-mx-5-miata/,JM1NC2MF2F0241624,Great Price,12990,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Orlando, FL",75588,Crystal White Pearl,Black W/Red Stitch,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-23 18:43:57.662618
